station,time,schools,tech,traffic,comb_score
QUEENS PLAZA,8,2,0,3599.5,0.052599772152
2 AV,20,1,1,10493.0,0.0524476519431
MYRTLE-WILLOUGH,8,2,0,3521.125,0.0524221992088
33 ST-RAWSON ST,12,2,0,3513.0,0.0524037905304
QUEENSBORO PLZ,20,2,0,3507.0,0.0523901964295
JAY ST-METROTEC,4,2,0,3426.0,0.0522066760672
HOYT-SCHER,8,2,0,3373.5,0.0520877276841
207 ST,8,2,0,3354.0,0.0520435468562
116 ST-COLUMBIA,20,2,0,3305.75,0.051934227628
81 ST-MUSEUM,4,2,1,441.125,0.0518955069754
207 ST,16,2,0,3275.5,0.0518656907025
JAY ST-METROTEC,0,2,0,3218.0,0.0517354139021
QUEENS PLAZA,16,2,0,3214.375,0.0517272007995
CONEY IS-STILLW,12,0,0,22815.0629229,0.0516917112942
WHITEHALL S-FRY,20,0,6,5719.625,0.0516685373274
COURT SQ,20,2,0,3117.5,0.0515077127118
FRANKLIN AV,4,2,0,3079.875,0.0514224663706
WHITEHALL S-FRY,8,0,6,5598.875,0.0513949560465
77 ST,16,0,0,22634.5625,0.0512827544669
33 ST-RAWSON ST,16,2,0,2984.5,0.0512063768081
BURNSIDE AV,20,2,0,2895.5,0.0510047309779
96 ST,20,0,0,22510.25,0.0510011016886
50 ST,20,0,0,22447.0,0.0508577972081
MYRTLE-WILLOUGH,16,2,0,2772.5,0.0507260519091
BROOKLYN BRIDGE,16,1,1,9719.0,0.050694012925
103 ST,0,2,0,2754.4944853,0.0506852571118
CATHEDRAL PKWY,4,2,0,2738.375,0.0506487354602
HARLEM 148 ST,12,2,0,2730.5,0.0506308932027
WORLD TRADE CTR,20,1,3,3930.5,0.0504823298732
HARLEM 148 ST,8,2,0,2616.0,0.0503714724436
MARBLE HILL-225,12,2,0,2577.5,0.0502842436294
DEKALB AV,0,2,0,2562.75,0.0502508247979
CANAL ST,4,1,3,3801.875,0.0501909063349
39 AV,8,2,0,2524.5,0.0501641624046
HOYT ST,8,2,0,2511.0,0.0501335756776
HOYT ST,20,2,0,2474.0,0.0500497453886
COURT SQ-23 ST,12,2,0,2303.0,0.0496623135125
QUEENSBORO PLZ,4,2,0,2289.5,0.0496317267854
BOROUGH HALL,0,2,0,2238.5,0.0495161769276
TREMONT AV,20,2,0,2217.875,0.0494694472057
36 AV,20,2,0,2199.5,0.0494278152717
WORLD TRADE CTR,8,1,3,3425.5,0.0493381597129
MARBLE HILL-225,16,2,0,2143.0,0.0492998041547
BROOKLYN BRIDGE,12,1,1,9051.75,0.049182235619
COURT SQ-23 ST,16,2,0,2078.5,0.0491536675699
FRANKLIN AV,0,2,0,2060.875,0.0491137348985
COURT SQ-23 ST,8,2,0,1997.5,0.0489701472075
BEDFORD AV,8,1,0,11781.5,0.0489153722114
HARLEM 148 ST,16,2,0,1942.0,0.0488444017741
CATHEDRAL PKWY,0,2,0,1934.625,0.0488276923584
39 AV,16,2,0,1924.5,0.0488047523131
207 ST,20,2,0,1914.5,0.0487820954782
MARBLE HILL-225,8,2,0,1892.0,0.0487311175998
39 AV,12,2,0,1836.0,0.0486042393246
GRAND ST,16,0,0,21357.0,0.0483882022085
BOROUGH HALL,4,2,0,1697.5,0.0482904421618
CHURCH AV,12,0,0,21301.625,0.0482627399854
33 ST-RAWSON ST,8,2,0,1654.0,0.0481918849301
QUEENS PLAZA,20,2,0,1584.25,0.048033853507
207 ST,4,2,0,1533.5,0.0479188700701
36 AV,4,2,0,1529.0,0.0479086744944
QUEENSBORO PLZ,0,2,0,1520.5,0.0478894161848
145 ST,20,1,0,11311.25,0.0478499345522
HUNTERS PT AV,12,2,0,1498.625,0.0478398543585
161/YANKEE STAD,8,1,0,11270.1291667,0.0477567677592
MYRTLE-WILLOUGH,20,2,0,1441.75,0.0477109936102
MYRTLE-WILLOUGH,4,2,0,1418.5,0.0476583164692
BERGEN ST,0,2,0,1408.0,0.0476345267926
COURT SQ,4,2,0,1378.5,0.0475676891298
137 ST CITY COL,0,2,0,1350.5,0.0475042499922
103 ST-CORONA,0,2,0,1316.5,0.0474272167536
QUEENS PLAZA,4,2,0,1307.875,0.0474076752336
215 ST,12,2,0,1251.0,0.0472788144853
MARBLE HILL-225,20,2,0,1234.0,0.0472402978661
COURT SQ,0,2,0,1202.0,0.0471677959945
HUNTERS PT AV,16,2,0,1143.375,0.0470349703001
COURT SQ-23 ST,20,2,0,1084.5,0.0469015781849
215 ST,16,2,0,1059.5,0.0468449360978
33 ST-RAWSON ST,20,2,0,1043.5,0.046808685162
215 ST,8,2,0,1025.0,0.0467667700175
HUNTERS PT AV,8,2,0,1025.0,0.0467667700175
39 AV,20,2,0,1010.0,0.0467327847652
HOYT-SCHER,0,2,0,996.5,0.0467021980381
BERGEN ST,4,2,0,992.125,0.0466922856729
HARLEM 148 ST,4,2,0,967.5,0.0466364932171
HARLEM 148 ST,20,2,0,956.5,0.0466115706987
TREMONT AV,0,2,0,884.875,0.046449291119
116 ST-COLUMBIA,0,2,0,882.75,0.0464444765416
HUNTERS PT AV,4,2,0,857.0,0.0463861351919
MARBLE HILL-225,4,2,0,824.5,0.0463125004786
116 ST-COLUMBIA,4,2,0,765.625,0.0461791083633
36 AV,0,2,0,746.5,0.0461357771667
HOYT ST,4,2,0,744.0,0.046130112958
39 AV,4,2,0,696.25,0.0460219265715
HOYT-SCHER,4,2,0,692.0,0.0460122974167
BURNSIDE AV,0,2,0,687.0,0.0460009689993
CLARK ST,0,2,0,634.0,0.0458808877745
CLARK ST,4,2,0,618.0,0.0458446368387
FLUSHING-MAIN,20,0,0,20214.0,0.0457985259841
BEDFORD AV,0,1,0,10395.0,0.0457740020582
HUNTERS PT AV,20,2,0,564.625,0.0457237059827
207 ST,0,2,0,550.0,0.0456905703617
HUNTERS PT AV,0,2,0,548.75,0.0456877382573
CHURCH AV,8,0,0,20132.125,0.0456130231487
MYRTLE-WILLOUGH,0,2,0,510.25,0.0456005094431
HOYT ST,0,2,0,503.0,0.0455840832379
QUEENS PLAZA,0,2,0,497.75,0.0455721883996
33 ST-RAWSON ST,4,2,0,472.5,0.0455149798915
215 ST,20,2,0,468.5,0.0455059171576
COURT SQ-23 ST,4,2,0,462.0,0.0454911902149
39 AV,0,2,0,365.5,0.0452725517585
33 ST-RAWSON ST,0,2,0,355.5,0.0452498949237
215 ST,4,2,0,347.5,0.0452317694558
8 AV,20,0,0,19955.0,0.0452117139612
COURT SQ-23 ST,0,2,0,314.0,0.045155869059
MARBLE HILL-225,0,2,0,252.0,0.0450153966829
HARLEM 148 ST,0,2,0,219.0,0.0449406291279
215 ST,0,2,0,137.0,0.044754843082
46 ST BLISS ST,12,1,0,9853.5,0.0445471344506
GRAND ST,12,0,0,19367.5,0.0438806249133
46 ST BLISS ST,8,1,0,9506.0,0.0437598094392
2 AV,0,1,1,6586.5,0.0435967594054
2 AV,8,1,1,6520.5,0.0434472242953
WORLD TRADE CTR,4,1,3,798.5,0.0433862091954
WHITEHALL S-FRY,4,0,6,2044.5,0.0433418673063
WORLD TRADE CTR,0,1,3,734.0,0.0432400726106
40 ST LOWERY ST,12,1,1,6388.0,0.0431470212334
40 ST LOWERY ST,8,1,1,6343.0,0.0430450654765
50 ST,8,0,0,18732.0,0.042440783058
57 ST-7 AV,16,0,0,18635.5,0.0422221446016
DYCKMAN ST,12,1,0,8705.875,0.0419469794401
WHITEHALL S-FRY,0,0,6,1252.625,0.0415477291959
PROSPECT PARK,12,1,0,8403.0,0.0412607605543
FLATBUSH AV-B.C,12,1,0,8262.65393922,0.0409427808021
DELANCEY/ESSEX,16,0,0,17901.125,0.0405582832916
145 ST,4,1,0,7972.0,0.0402842509719
MARCY AV,12,1,0,7954.75,0.0402451679317
DYCKMAN ST,8,1,0,7874.125,0.0400624972007
FLATBUSH AV-B.C,8,1,0,7730.875,0.0397379380413
7 AV,12,0,0,17516.75,0.0396874112017
NOSTRAND AV,20,1,0,7668.5,0.0395966160339
BROOKLYN BRIDGE,20,1,1,4777.25,0.0394975715585
CHAMBERS ST,0,1,1,4749.909162,0.0394356258733
DELANCEY/ESSEX,12,0,0,17370.75,0.0393566214128
FLATBUSH AV-B.C,16,1,0,7525.33673109,0.0392722533797
CONEY IS-STILLW,8,0,0,17332.75,0.0392705254403
40 ST LOWERY ST,16,1,1,4642.0,0.039191137867
46 ST BLISS ST,16,1,0,7475.0,0.0391582062794
PROSPECT PARK,16,1,0,7464.5,0.0391344166028
JUNCTION BLVD,8,0,0,17230.0,0.0390377264621
DYCKMAN ST,16,1,0,7337.125,0.0388458251687
MARCY AV,16,1,0,7328.375,0.0388260004382
JKSN HT-ROOSVLT,20,0,0,17124.5,0.0387986968544
BOWERY,16,1,1,4453.5,0.0387640565299
LORIMER ST,12,1,0,7205.875,0.0385484542112
CHAMBERS ST,4,1,1,4337.23662597,0.0385006405234
INWOOD-207 ST,12,1,0,7160.65406912,0.0384459978949
5 AV/59 ST,16,0,0,16942.0,0.0383852096182
149/GRAND CONC,12,1,0,6896.5,0.0378475083828
INWOOD-207 ST,8,1,0,6858.875,0.0377622620416
7 AV,16,0,0,16626.5,0.0376703864784
CITY HALL,16,1,1,3901.0,0.037512266404
79 ST,12,0,0,16548.0,0.0374925303248
CLINTON-WASH AV,12,1,0,6626.5,0.0372357738416
149/GRAND CONC,16,1,0,6566.5,0.0370998328324
BROOKLYN BRIDGE,8,1,1,3701.0,0.0370591297068
79 ST,16,0,0,16311.25,0.0369561297595
LORIMER ST,8,1,0,6383.75,0.0366857791754
CHURCH AV,16,0,0,16147.875,0.03658597372
161/YANKEE STAD,4,1,0,6261.8375,0.0364095640374
BEDFORD-NOSTRAN,12,1,0,6241.0,0.0363623528578
8 AV,8,0,0,16018.25,0.0362922844981
CITY HALL,12,1,1,3350.0,0.0362638748032
GRAND ARMY PLAZ,12,1,0,6141.5,0.0361369173509
BOWERY,12,1,1,3165.5,0.0358458562001
LORIMER ST,16,1,0,6001.875,0.0358205712942
WOODHAVEN BLVD,12,0,0,15790.8265601,0.035777014966
WOODHAVEN BLVD,16,0,0,15756.7847729,0.0356998870509
GRAND ARMY PLAZ,16,1,0,5911.5,0.0356158101492
JUNCTION BLVD,12,0,0,15719.0,0.0356142787149
INWOOD-207 ST,16,1,0,5829.375,0.0354297408929
FRANKLIN ST,16,1,1,2928.75,0.0353094556348
FRANKLIN ST,12,1,1,2923.125,0.0352967111652
149/GRAND CONC,8,1,0,5712.0,0.0351638062937
PROSPECT PARK,8,1,0,5606.5,0.0349247766859
MARCY AV,8,1,0,5601.625,0.034913731479
BOWERY,20,1,1,2686.0,0.0347594609686
SUTPHIN-ARCHER,12,0,0,15106.0,0.0342254147381
CLINTON-WASH AV,16,1,0,5268.75,0.0341595420886
NORWOOD 205 ST,12,1,0,5205.625,0.0340165208185
BEDFORD-NOSTRAN,8,1,0,5199.5,0.0340026435072
MOSHOLU PKWY,12,1,0,5189.0,0.0339788538306
40 ST LOWERY ST,20,1,1,2281.0,0.0338418591568
EASTN PKWY-MUSM,16,1,0,5116.5,0.0338145917779
NORWOOD 205 ST,8,1,0,5099.25,0.0337755087377
EASTN PKWY-MUSM,12,1,0,4992.5,0.0335336470256
155 ST,12,1,0,4906.375,0.0333385150354
2 AV,4,1,1,2050.5,0.0333196191133
FOREST HILLS 71,12,0,0,14594.625,0.0330668008455
MARCY AV,20,1,0,4782.25,0.0330572870727
57 ST-7 AV,12,0,0,14551.5,0.0329690932451
FRANKLIN ST,20,1,1,1819.375,0.0327959630176
FLATBUSH AV-B.C,4,1,0,4654.125,0.0327669963761
MOSHOLU PKWY,8,1,0,4649.375,0.0327562343795
FLATBUSH AV-B.C,20,1,0,4625.625,0.0327024243967
40 ST LOWERY ST,4,1,1,1768.0,0.0326795635285
BOWERY,0,1,1,1663.0,0.0324416667625
CITY HALL,20,1,1,1639.0,0.0323872903588
JKSN HT-ROOSVLT,4,0,0,14249.0,0.0322837239907
CLINTON-WASH AV,8,1,0,4435.0,0.0322705284822
BEDFORD-NOSTRAN,16,1,0,4424.5,0.0322467388056
155 ST,8,1,0,4346.5,0.0320700154937
FRANKLIN ST,8,1,1,1453.75,0.0319675724931
231 ST,12,1,0,4294.5,0.0319521999524
NOSTRAND AV,4,1,0,4238.0,0.0318241888355
GRAND ARMY PLAZ,8,1,0,4224.0,0.0317924692667
181 ST,12,0,0,14027.875,0.0317827247298
BROOK AV,12,1,0,4179.125,0.0316907967203
DYCKMAN ST,20,1,0,4142.75,0.0316083824835
LORIMER ST,20,1,0,4126.75,0.0315721315477
BOWERY,8,1,1,1278.5,0.0315705114622
176 ST,8,1,0,4113.0,0.0315409783997
176 ST,12,1,0,4098.5,0.0315081259892
CONEY IS-STILLW,20,0,0,13902.5,0.0314986646628
CARROLL ST,12,1,0,4069.5,0.0314424211681
SUTPHIN-ARCHER,16,0,0,13842.0,0.0313615908119
149/GRAND CONC,20,1,0,3994.5,0.0312724949067
CITY HALL,8,1,1,1143.0,0.0312635113498
MOSHOLU PKWY,16,1,0,3987.5,0.0312566351223
BROOKLYN BRIDGE,0,1,1,1093.5,0.0311513600173
NEWKIRK AV,12,1,0,3912.625,0.0310869920713
NEWKIRK AV,8,1,0,3830.125,0.0309000731837
155 ST,16,1,0,3706.5,0.0306199780627
STERLING ST,12,1,0,3694.0,0.0305916570192
MT EDEN AV,8,1,0,3673.78,0.0305458448991
BROOK AV,8,1,0,3660.75,0.0305163230432
MT EDEN AV,12,1,0,3647.5,0.0304863027371
77 ST,8,0,0,13442.625,0.0304567334697
CARROLL ST,16,1,0,3623.5,0.0304319263334
INWOOD-207 ST,4,1,0,3594.5,0.0303662215123
KINGS HWY,12,0,0,13396.5,0.0303522288189
46 ST BLISS ST,4,1,0,3585.0,0.0303446975192
PARKSIDE AV,12,1,0,3575.0,0.0303220406843
174-175 STS,12,1,0,3558.0,0.0302835240651
NORWOOD 205 ST,16,1,0,3517.5,0.0301917638839
174-175 STS,8,1,0,3513.0,0.0301815683082
CORTELYOU RD,12,1,0,3496.0,0.0301430516889
FRANKLIN ST,0,1,1,647.625,0.030141148393
46 ST BLISS ST,20,1,0,3485.5,0.0301192620123
BROOKLYN BRIDGE,4,1,1,634.5,0.0301114112973
40 ST LOWERY ST,0,1,1,628.5,0.0300978171963
NORWOOD 205 ST,4,1,0,3472.375,0.0300895249166
DYCKMAN ST,4,1,0,3471.625,0.030087825654
BAY PKWY,8,0,0,13255.9367415,0.0300337569653
231 ST,8,1,0,3434.0,0.0300025793128
CORTELYOU RD,8,1,0,3368.0,0.0298530442028
167 ST,8,0,0,13161.1666666,0.0298190379719
DELANCEY/ESSEX,20,0,0,13102.625,0.0296864010845
STERLING ST,8,1,0,3270.0,0.0296310072211
167 ST,12,0,0,13075.0,0.0296238115782
79 ST,8,0,0,13024.5,0.0295093945622
BOWERY,4,1,1,359.5,0.0294883483386
149/GRAND CONC,4,1,0,3199.0,0.0294701436936
CITY HALL,0,1,1,346.5,0.0294588944533
231 ST,16,1,0,3177.5,0.0294214314987
WINTHROP ST,12,1,0,3176.0,0.0294180329735
FRANKLIN ST,4,1,1,326.625,0.029413863994
MOSHOLU PKWY,4,1,0,3145.125,0.0293480799958
145 ST,0,1,0,3141.5,0.0293398668932
KINGSTON AV,12,1,0,3121.5,0.0292945532235
BROADWAY,12,0,0,12892.0,0.0292091915003
5 AV/59 ST,12,0,0,12884.0,0.0291910660324
PARKSIDE AV,8,1,0,3061.61966977,0.0291588833481
BROOK AV,16,1,0,3061.125,0.029157762583
CITY HALL,4,1,1,152.5,0.029019351857
PARKSIDE AV,16,1,0,2976.625,0.0289663123285
161/YANKEE STAD,0,1,0,2946.06666667,0.0288970768173
PROSPECT PARK,20,1,0,2940.5,0.0288844645125
CARROLL ST,8,1,0,2935.5,0.0288731360951
CLINTON-WASH AV,20,1,0,2916.625,0.0288303713193
176 ST,16,1,0,2913.5,0.0288232910584
NEWKIRK AV,16,1,0,2909.125,0.0288133786932
7 AV,8,0,0,12710.375,0.0287976867372
INWOOD-207 ST,20,1,0,2849.625,0.0286785705257
KINGSTON AV,8,1,0,2835.0,0.0286454349048
AVENUE J,8,1,0,2823.5,0.0286193795447
WINTHROP ST,8,1,0,2811.625,0.0285924745533
MT EDEN AV,16,1,0,2787.0,0.0285366820974
90 ST-ELMHURST,8,0,0,12584.0,0.0285113609866
CLASSON AV,12,1,0,2770.5,0.0284992983199
KINGS HWY,8,0,0,12542.5,0.028417335122
PARK PLACE,16,1,0,2730.5,0.0284086709805
BEDFORD AV,4,1,0,2721.0,0.0283871469874
AVENUE J,12,1,0,2707.0,0.0283554274186
PARK PLACE,12,1,0,2682.125,0.0282990685419
36 ST,12,0,0,12486.9583334,0.0282914952851
FLUSHING-MAIN,4,0,0,12439.0,0.0281828368812
NEWKIRK AV,4,1,0,2615.5,0.0281481173796
FOREST HILLS 71,8,0,0,12327.375,0.0279299299621
174-175 STS,16,1,0,2512.5,0.0279147519806
STERLING ST,16,1,0,2483.5,0.0278490471595
EASTN PKWY-MUSM,8,1,0,2482.5,0.027846781476
WINTHROP ST,16,1,0,2417.625,0.0276997952598
CORTELYOU RD,16,1,0,2417.5,0.0276995120494
JUNCTION BLVD,4,0,0,12190.0,0.0276186816932
LORIMER ST,4,1,0,2368.5,0.0275884935586
77 ST,20,0,0,12114.4375,0.0274474809848
KINGSTON AV,16,1,0,2284.0,0.027397043304
CLASSON AV,8,1,0,2260.0,0.0273426669004
GRAND ARMY PLAZ,20,1,0,2256.5,0.0273347370082
KEW GARDENS,12,0,0,12045.25,0.0272907240086
MOSHOLU PKWY,20,1,0,2229.75,0.0272741299749
BROOK AV,4,1,0,2228.375,0.0272710146601
BEDFORD-NOSTRAN,20,1,0,2218.5,0.0272486410357
CARROLL ST,20,1,0,2182.5,0.0271670764302
155 ST,4,1,0,2159.5,0.02711496571
KEW GARDENS,8,0,0,11939.625,0.0270514111904
MARCY AV,4,1,0,2125.375,0.0270376492611
176 ST,4,1,0,2104.5,0.0269903531183
AVENUE J,16,1,0,2098.0,0.0269756261757
MARCY AV,0,1,0,2091.875,0.0269617488643
CLASSON AV,16,1,0,2090.5,0.0269586335495
GRAND-NEWTOWN,8,0,0,11864.0,0.0268800688768
PRESIDENT ST,12,1,0,2033.0,0.0268283567491
MT EDEN AV,4,1,0,2031.06,0.0268239613231
155 ST,20,1,0,1978.375,0.0267045937886
LORIMER ST,0,1,0,1936.25,0.0266091518718
NOSTRAND AV,0,1,0,1935.0,0.0266063197674
SOUTH FERRY,12,0,2,6036.875,0.0265808738004
NORWOOD 205 ST,20,1,0,1920.125,0.0265726177256
61 ST WOODSIDE,12,0,0,11708.5,0.0265277550947
176 ST,20,1,0,1879.5,0.026480574334
181 ST,8,0,0,11687.596509,0.0264803944002
82 ST-JACKSON H,12,0,0,11668.5,0.0264371277553
PROSPECT PARK,4,1,0,1832.5,0.0263740872101
174-175 STS,4,1,0,1818.5,0.0263423676413
90 ST-ELMHURST,12,0,0,11626.5,0.0263419690489
BAY PKWY,12,0,0,11514.875,0.0260890621298
PRESIDENT ST,8,1,0,1706.5,0.0260886110909
EASTN PKWY-MUSM,20,1,0,1703.0,0.0260806811987
111 ST,8,0,0,11500.125,0.0260556432983
SOUTH FERRY,16,0,2,5797.375,0.0260382426056
NEWKIRK AV,20,1,0,1675.875,0.0260192245342
ASTORIA DITMARS,12,0,0,11478.5,0.026006647893
231 ST,20,1,0,1663.0,0.0259900538593
FLATBUSH AV-B.C,0,1,0,1652.5,0.0259662641827
MT EDEN AV,20,1,0,1646.5,0.0259526700818
BROOK AV,20,1,0,1623.25,0.0258999929407
138/GRAND CONC,12,1,0,1594.5,0.0258348545405
HEWES ST,12,1,0,1544.0,0.0257204375245
BROADWAY,8,0,0,11347.875,0.0257106929876
AVENUE H,8,1,0,1525.0,0.0256773895382
WOODHAVEN BLVD,8,0,0,11326.0210595,0.0256611788755
138/GRAND CONC,16,1,0,1512.5,0.0256490684947
PARKSIDE AV,20,1,0,1502.125,0.0256255620285
WINTHROP ST,4,1,0,1494.875,0.0256091358232
PARK PLACE,8,1,0,1476.125,0.0255666542579
HEWES ST,16,1,0,1466.5,0.0255448470543
238 ST,12,1,0,1450.5,0.0255085961185
30 AV,12,0,0,11239.0,0.0254640166981
PRESIDENT ST,16,1,0,1415.5,0.0254292971965
PARKSIDE AV,4,1,0,1413.23606867,0.0254241678447
231 ST,4,1,0,1406.5,0.0254089060451
UTICA AV,12,0,0,11212.3,0.025403522949
ELMHURST AV,8,0,0,11204.0,0.0253847177761
138/GRAND CONC,8,1,0,1394.0,0.0253805850016
AVENUE H,12,1,0,1383.0,0.0253556624832
149/GRAND CONC,0,1,0,1378.5,0.0253454669075
170 ST,12,0,0,11166.875,0.0253006042767
SUTPHIN-ARCHER,8,0,0,11151.5935227,0.0252659812859
174-175 STS,20,1,0,1336.5,0.0252503082011
PARK PLACE,20,1,0,1331.125,0.0252381301524
STERLING ST,20,1,0,1302.5,0.0251732749626
DYCKMAN ST,0,1,0,1269.375,0.0250982241971
238 ST,8,1,0,1258.25,0.0250730184684
BEDFORD-NOSTRAN,4,1,0,1254.5,0.0250645221553
CORTELYOU RD,4,1,0,1247.0,0.0250475295291
61 ST WOODSIDE,8,0,0,11054.875,0.0250468477262
CLASSON AV,20,1,0,1242.5,0.0250373339535
WINTHROP ST,20,1,0,1232.75,0.0250152435395
JUNCTION BLVD,16,0,0,11032.5,0.0249961530582
CORTELYOU RD,20,1,0,1210.0,0.0249636992402
STERLING ST,4,1,0,1208.0,0.0249591678732
238 ST,16,1,0,1178.5,0.0248923302104
FOREST HILLS 71,16,0,0,10976.4775658,0.0248692239542
KINGSTON AV,20,1,0,1156.0,0.0248413523319
HEWES ST,8,1,0,1141.125,0.0248076502901
CLINTON-WASH AV,0,1,0,1051.625,0.0246048716181
46 ST BLISS ST,0,1,0,1026.0,0.0245468134788
BOTANIC GARDEN,12,1,0,1016.875,0.024526139117
HALSEY ST,12,0,0,10819.75,0.0245141288966
ASTORIA DITMARS,8,0,0,10817.5,0.0245090311088
AVENUE J,4,1,0,975.5,0.0244323964627
CLINTON-WASH AV,4,1,0,962.0,0.0244018097357
AVENUE H,16,1,0,951.0,0.0243768872173
36 ST,8,0,0,10731.1875,0.0243134743029
HEWES ST,20,1,0,908.125,0.0242797460379
AVENUE J,20,1,0,907.0,0.0242771971439
96 ST,4,0,0,10703.125,0.0242498935601
BOTANIC GARDEN,16,1,0,868.75,0.0241905347506
138/GRAND CONC,4,1,0,845.5,0.0241378576096
KINGSTON AV,4,1,0,832.0,0.0241072708825
INWOOD-207 ST,0,1,0,815.375,0.0240696038945
MOSHOLU PKWY,0,1,0,789.875,0.0240118289657
EAST BROADWAY,12,0,0,10563.0,0.0239324146616
NORWOOD 205 ST,0,1,0,744.0,0.0239078907357
PRESIDENT ST,20,1,0,736.0,0.0238897652678
METS-WILLETS PT,20,0,0,10543.375,0.0238879506232
63 DR-REGO PARK,12,0,0,10529.5,0.0238565142648
238 ST,20,1,0,711.375,0.023833972812
PROSPECT PARK,0,1,0,708.5,0.023827458972
138/GRAND CONC,20,1,0,695.5,0.0237980050867
155 ST,0,1,0,689.25,0.0237838445649
BOTANIC GARDEN,8,1,0,665.125,0.0237291849508
BROOK AV,0,1,0,651.625,0.0236985982237
238 ST,4,1,0,649.75,0.0236943500672
NEWKIRK AV,0,1,0,622.0,0.0236314773505
BEDFORD-NOSTRAN,0,1,0,619.5,0.0236258131417
PRESIDENT ST,4,1,0,618.5,0.0236235474583
GRAND ARMY PLAZ,4,1,0,604.5,0.0235918278895
HALSEY ST,8,0,0,10400.125,0.0235633914638
MT EDEN AV,0,1,0,589.34,0.0235574801278
STEINWAY ST,12,0,0,10397.25,0.0235568776238
AVENUE H,4,1,0,586.333333334,0.0235506679728
GRAND ST,20,0,0,10376.5,0.0235098646915
DELANCEY/ESSEX,8,0,0,10373.75,0.0235036340619
CLASSON AV,4,1,0,529.5,0.023421901628
GRAND ARMY PLAZ,0,1,0,526.5,0.0234151045776
181 ST,16,0,0,10322.625,0.0233878009937
CARROLL ST,0,1,0,498.0,0.0233505325982
GRAND-NEWTOWN,12,0,0,10298.0,0.0233320085379
176 ST,0,1,0,484.0,0.0233188130294
PARK PLACE,4,1,0,474.125,0.023296439405
PARKSIDE AV,0,1,0,471.0,0.0232893591441
EASTN PKWY-MUSM,4,1,0,462.5,0.0232701008345
BOTANIC GARDEN,20,1,0,438.5,0.0232157244308
HEWES ST,4,1,0,437.375,0.0232131755369
CARROLL ST,4,1,0,429.0,0.0231942004377
AVENUE H,20,1,0,413.5,0.0231590823436
EASTN PKWY-MUSM,0,1,0,409.0,0.023148886768
WINTHROP ST,0,1,0,397.0,0.0231216985661
HEWES ST,0,1,0,379.375,0.0230817658947
231 ST,0,1,0,374.5,0.0230707206877
57 ST-7 AV,20,0,0,10169.5,0.0230408682099
CLASSON AV,0,1,0,354.5,0.023025407018
174-175 STS,0,1,0,340.0,0.0229925546074
138/GRAND CONC,0,1,0,310.0,0.0229245841029
GRAND ST,8,0,0,10107.5,0.0229003958338
PARK PLACE,0,1,0,294.375,0.0228891827984
238 ST,0,1,0,292.875,0.0228857842732
EAST BROADWAY,16,0,0,10091.0,0.0228630120563
KINGSTON AV,0,1,0,276.5,0.0228486837061
BOTANIC GARDEN,4,1,0,273.375,0.0228416034452
STERLING ST,0,1,0,249.5,0.022787510252
CORTELYOU RD,0,1,0,239.0,0.0227637205754
170 ST,8,0,0,10027.1142027,0.0227182670602
86 ST,4,0,0,10006.25,0.0226709953808
36 ST,16,0,0,9999.85416666,0.0226565044469
PRESIDENT ST,0,1,0,176.5,0.0226221153575
AVENUE J,0,1,0,176.0,0.0226209825157
BOTANIC GARDEN,0,1,0,147.5,0.0225564105364
AVENUE H,0,1,0,99.1666666665,0.0224469025012
UTICA AV,8,0,0,9871.4,0.0223654679628
KINGS HWY,16,0,0,9866.0,0.0223532332719
7 AV,20,0,0,9695.75,0.0219675006585
CHURCH AV,4,0,0,9665.125,0.0218981141017
30 AV,8,0,0,9633.5,0.0218264618615
BROADWAY,16,0,0,9610.0,0.0217732182995
SUTPHIN-ARCHER,20,0,0,9547.5,0.0216316130817
PARKCHESTER,12,0,0,9475.625,0.0214687670811
8 AV,0,0,0,9474.25,0.0214656517663
METROPOLITAN AV,16,0,0,9460.125,0.0214336489871
61 ST WOODSIDE,16,0,0,9385.875,0.0212654219883
63 DR-REGO PARK,16,0,0,9384.0,0.0212611738317
167 ST,16,0,0,9340.0,0.0211614837584
SOUTH FERRY,8,0,2,3641.125,0.0211528625891
82 ST-JACKSON H,16,0,0,9321.0,0.0211184357721
STEINWAY ST,16,0,0,9250.0,0.0209575722446
ELMHURST AV,12,0,0,9247.0,0.0209507751942
82 ST-JACKSON H,8,0,0,9220.5,0.0208907345818
111 ST,12,0,0,9213.0,0.0208737419556
PARKCHESTER,8,0,0,9097.875,0.0206129051443
5 AV/59 ST,20,0,0,9063.0,0.0205338894328
METS-WILLETS PT,16,0,0,9058.875,0.0205245434884
UTICA AV,16,0,0,8997.575,0.0203856570907
METROPOLITAN AV,12,0,0,8986.875,0.0203614142774
50 ST,0,0,0,8977.0,0.020339040653
59 ST,4,0,0,8966.5,0.0203152509764
KEW GARDENS,16,0,0,8856.25,0.020065459372
79 ST,20,0,0,8683.625,0.0196743457603
18 AV,8,0,0,8643.0,0.0195823023687
WOODHAVEN BLVD,20,0,0,8604.5,0.0194950735545
110 ST,12,0,0,8572.0,0.0194214388412
JAMAICA 179 ST,8,0,0,8565.5080025,0.0194067300296
63 DR-REGO PARK,8,0,0,8525.5,0.0193160845591
SOUTH FERRY,20,0,2,2718.375,0.0190622031524
JAMAICA 179 ST,12,0,0,8275.0,0.0187485308459
